kind,n,m,structure,workload,threads,queries,build_ns,index_bytes,analytic_bytes,scratch_bytes,wall_ns,throughput_qps,p50_ns,p99_ns,chunk,spread,checksum
er,200000,3199860,adjmap,neighbors,1,200000,117537933,28707728,27812168,34216,36747374,5442565.77,86659,136006,512,2.0134,319905782570
er,200000,3199860,adjmap,neighbors,2,200000,117537933,28707728,27812168,68432,19388089,10315611.82,91323,148075,512,1.0806,319905782570
er,200000,3199860,adjmap,neighbors,4,200000,117537933,28707728,27812168,136864,10488417,19068654.50,92242,198312,512,1.0581,319905782570
er,200000,3199860,adjmap,neighbors,1,2000000,117537933,28707728,27812168,34216,365602011,5470429.43,86413,158663,512,1.1719,3200472418397
er,200000,3199860,adjmap,neighbors,2,2000000,117537933,28707728,27812168,68432,175497794,11396154.64,84691,170480,512,1.0990,3200472418397
er,200000,3199860,adjmap,neighbors,4,2000000,117537933,28707728,27812168,136864,80364549,24886595.21,73151,147066,512,1.2091,3200472418397
er,200000,3199860,adjmap,neighbors-batch,1,200000,117537933,28707728,27812168,34216,30594810,6537056.45,74603,156520,512,1.4034,319941116941
er,200000,3199860,adjmap,neighbors-batch,2,200000,117537933,28707728,27812168,68432,15994636,12504192.03,64511,237022,512,1.1739,319941116941
er,200000,3199860,adjmap,neighbors-batch,4,200000,117537933,28707728,27812168,136864,9210925,21713345.84,97342,147011,512,1.0483,319941116941
er,200000,3199860,adjmap,neighbors-batch,1,2000000,117537933,28707728,27812168,34216,221433400,9032061.11,53019,99348,512,1.0603,3200125771375
er,200000,3199860,adjmap,neighbors-batch,2,2000000,117537933,28707728,27812168,68432,128026474,15621768.98,60678,118761,512,1.0485,3200125771375
er,200000,3199860,adjmap,neighbors-batch,4,2000000,117537933,28707728,27812168,136864,66834205,29924796.74,61699,119216,512,1.1089,3200125771375
er,200000,3199860,adjmap,hasedge,1,200000,117537933,28707728,27812168,34216,27119408,7374792.25,263599,465475,2048,1.1413,100008
er,200000,3199860,adjmap,hasedge,2,200000,117537933,28707728,27812168,68432,12510660,15986366.83,252165,354237,2048,1.2997,100008
